Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,65.059998,73.070000,64.760002,73.000000,64.888290,112264800
2019-02-01,73.099998,73.709999,69.070000,72.639999,64.568291,93832100
2019-03-01,73.589996,81.559998,71.959999,80.260002,71.973953,109471700
2019-04-01,80.610001,83.650002,74.730003,77.419998,69.427147,92402600
2019-05-01,77.800003,82.250000,70.029999,80.449997,72.144333,140085400
2019-06-01,80.599998,89.150002,80.559998,86.610001,78.368080,93656300
2019-07-01,87.550003,89.510002,85.680000,86.400002,78.178078,84269600
2019-08-01,86.190002,109.330002,80.029999,107.040001,96.853951,181842600
2019-09-01,106.769997,110.940002,104.680000,106.910004,97.479408,81057000
2019-10-01,107.330002,114.830002,104.010002,106.910004,97.479408,92869400
2019-11-01,108.059998,127.970001,107.019997,125.010002,113.982811,129620500
2019-12-01,125.699997,130.240005,122.330002,128.210007,117.593750,76128500
2020-01-01,128.740005,128.899994,110.370003,110.739998,101.570305,133711800
2020-02-01,111.139999,118.879997,100.739998,103.000000,94.471237,79191800
2020-03-01,103.379997,112.199997,90.519997,92.970001,85.757042,169329200
2020-04-01,91.639999,114.070000,90.169998,109.739998,101.225945,130051200
2020-05-01,108.849998,125.970001,106.099998,122.330002,112.839180,125836000
2020-06-01,120.449997,124.430000,114.809998,119.930000,111.211632,104532600
2020-07-01,119.910004,125.930000,116.730003,125.879997,116.729095,67601900
2020-08-01,126.500000,156.100006,126.250000,151.210007,140.217728,122244800
2020-09-01,150.610001,159.149994,143.380005,157.419998,146.697906,67247700
2020-10-01,158.410004,167.419998,150.800003,152.220001,141.852066,59130800
2020-11-01,154.000000,181.110001,152.800003,179.529999,167.301926,94993000
2020-12-01,179.809998,181.169998,168.940002,176.529999,165.186310,72673600
2021-01-01,176.509995,199.960007,174.119995,181.169998,169.528137,82343900
2021-02-01,182.179993,196.250000,179.679993,183.440002,171.652298,54042200
2021-03-01,185.949997,201.960007,166.830002,198.070007,186.002869,113168300
2021-04-01,198.139999,210.860001,196.360001,207.259995,194.632965,54576700
2021-05-01,209.179993,228.839996,202.759995,226.919998,213.095215,80810900
2021-06-01,227.559998,243.460007,226.050003,241.740005,227.749756,65874600
2021-07-01,241.960007,263.459991,241.130005,261.049988,245.942200,54521100
2021-08-01,262.079987,267.059998,244.399994,246.979996,232.686478,74553200
2021-09-01,247.000000,248.529999,228.130005,228.770004,216.270035,56723000
2021-10-01,229.250000,261.510010,222.880005,259.619995,245.434402,58000200
2021-11-01,261.549988,268.980011,241.210007,243.839996,230.516602,82696700
2021-12-01,245.679993,248.850006,214.600006,231.440002,219.541672,87440900
2022-01-01,231.070007,236.330002,210.380005,220.429993,209.097656,85086200
2022-02-01,221.990005,222.520004,184.000000,199.770004,189.499802,78236200
2022-03-01,226.830002,229.190002,204.949997,212.220001,202.182159,96139100
2022-04-01,213.320007,254.869995,206.190002,228.649994,217.835052,73976600
2022-05-01,230.149994,238.589996,145.509995,161.880005,154.223236,180705600
2022-06-01,161.880005,163.160004,137.160004,141.229996,135.104523,142802000
2022-07-01,140.759995,164.039993,139.300003,163.380005,156.293854,66664300
2022-08-01,168.639999,183.889999,157.179993,160.339996,153.385681,98360800
2022-09-01,159.289993,176.130005,145.500000,148.389999,142.843735,76379000
2022-10-01,149.669998,170.750000,145.190002,164.250000,158.110931,66991400
2022-11-01,166.440002,180.460007,148.750000,167.070007,160.825562,142592800
2022-12-01,166.470001,167.429993,139.679993,149.039993,144.369339,83369000
2023-01-01,149.979996,172.220001,147.679993,172.139999,166.745422,66227800
2023-02-01,172.110001,181.699997,161.869995,168.500000,163.219498,62799900
2023-03-01,168.160004,168.399994,152.679993,165.630005,161.445450,74548500
2023-04-01,166.399994,171.240005,154.789993,157.750000,153.764526,51108200
2023-05-01,157.679993,162.839996,130.630005,130.929993,127.622108,115938400
2023-06-01,128.600006,138.080002,125.080002,131.899994,129.438217,155822700
2023-07-01,131.589996,138.279999,128.550003,136.470001,133.922928,83492500
2023-08-01,136.330002,136.539993,120.750000,126.550003,124.188080,134173600
2023-09-01,127.550003,127.699997,108.150002,110.570000,109.436478,81689200
2023-10-01,110.349998,113.180000,102.930000,110.790001,109.654221,100487800
2023-11-01,111.080002,133.960007,105.230003,133.809998,132.438232,127606800
2023-12-01,133.399994,143.369995,132.289993,142.419998,142.419998,73274700
2024-01-01,142.190002,144.199997,141.580002,143.100006,143.100006,3600400
